rank,title,director,actors,genres,url
1,Fargo,Joel Coen,Frances McDormand; William H. Macy; Steve Buscemi,"Crime, Comedy, Drama, Thriller",https://letterboxd.com/film/fargo/
2,Scream,Wes Craven,David Arquette; Neve Campbell; Courteney Cox,"Mystery, Crime, Horror",https://letterboxd.com/film/scream/
3,Trainspotting,Danny Boyle,Ewan McGregor; Ewen Bremner; Jonny Lee Miller,"Crime, Drama",https://letterboxd.com/film/trainspotting/
4,Primal Fear,Gregory Hoblit,Richard Gere; Laura Linney; Edward Norton,"Crime, Drama, Thriller",https://letterboxd.com/film/primal-fear/
5,Romeo + Juliet,Baz Luhrmann,Leonardo DiCaprio; Claire Danes; Jesse Bradford,"Romance, Drama",https://letterboxd.com/film/romeo-juliet-1996/
6,Crash,David Cronenberg,James Spader; Holly Hunter; Elias Koteas,"Thriller, Drama",https://letterboxd.com/film/crash/
7,Jerry Maguire,Cameron Crowe,Tom Cruise; Renée Zellweger; Cuba Gooding Jr.,"Comedy, Romance, Drama",https://letterboxd.com/film/jerry-maguire/
8,The Birdcage,Mike Nichols,Robin Williams; Gene Hackman; Nathan Lane,"Comedy, Romance",https://letterboxd.com/film/the-birdcage/
9,Matilda,Danny DeVito,Mara Wilson; Danny DeVito; Rhea Perlman,"Family, Comedy, Fantasy",https://letterboxd.com/film/matilda/
10,A Time to Kill,Joel Schumacher,Matthew McConaughey; Sandra Bullock; Samuel L. Jackson,"Thriller, Drama, Crime",https://letterboxd.com/film/a-time-to-kill-1996/
11,The Craft,Andrew Fleming,Robin Tunney; Fairuza Balk; Neve Campbell,"Horror, Fantasy, Drama",https://letterboxd.com/film/the-craft/
12,Bound,"Lana Wachowski, Lilly Wachowski",Gina Gershon; Jennifer Tilly; Joe Pantoliano,"Crime, Thriller, Drama",https://letterboxd.com/film/bound/
13,Sleepers,Barry Levinson,Kevin Bacon; Robert De Niro; Dustin Hoffman,"Drama, Crime, Thriller",https://letterboxd.com/film/sleepers/
14,Fear,James Foley,Mark Wahlberg; Reese Witherspoon; William L. Petersen,"Thriller, Horror",https://letterboxd.com/film/fear-1996/
15,Mission: Impossible,Brian De Palma,Tom Cruise; Jon Voight; Emmanuelle Béart,"Thriller, Action, Adventure",https://letterboxd.com/film/mission-impossible/
