rank,title,director,actors,genres,url
1,The Silence of the Lambs,Jonathan Demme,Jodie Foster; Anthony Hopkins; Scott Glenn,"Crime, Thriller, Horror, Drama",https://letterboxd.com/film/the-silence-of-the-lambs/
2,Thelma & Louise,Ridley Scott,Susan Sarandon; Geena Davis; Harvey Keitel,"Drama, Adventure, Crime, Thriller",https://letterboxd.com/film/thelma-louise/
3,Point Break,Kathryn Bigelow,Keanu Reeves; Patrick Swayze; Lori Petty,"Thriller, Action, Crime",https://letterboxd.com/film/point-break/
4,Terminator 2: Judgment Day,James Cameron,Arnold Schwarzenegger; Linda Hamilton; Edward Furlong,"Thriller, Action, Science Fiction",https://letterboxd.com/film/terminator-2-judgment-day/
5,Beauty and the Beast,"Gary Trousdale, Kirk Wise",Paige O'Hara; Robby Benson; Richard White,"Romance, Animation, Fantasy, Family",https://letterboxd.com/film/beauty-and-the-beast-1991/
6,My Girl,Howard Zieff,Anna Chlumsky; Macaulay Culkin; Dan Aykroyd,"Comedy, Drama",https://letterboxd.com/film/my-girl/
7,My Own Private Idaho,Gus Van Sant,River Phoenix; Keanu Reeves; James Russo,Drama,https://letterboxd.com/film/my-own-private-idaho/
8,Cape Fear,Martin Scorsese,Robert De Niro; Nick Nolte; Jessica Lange,"Drama, Thriller, Crime",https://letterboxd.com/film/cape-fear-1991/
9,Fried Green Tomatoes,Jon Avnet,Kathy Bates; Jessica Tandy; Mary-Louise Parker,"Drama, Comedy",https://letterboxd.com/film/fried-green-tomatoes/
10,Boyz n the Hood,John Singleton,Cuba Gooding Jr.; Laurence Fishburne; Ice Cube,"Drama, Crime",https://letterboxd.com/film/boyz-n-the-hood/
11,Father of the Bride,Charles Shyer,Steve Martin; Diane Keaton; Kimberly Williams-Paisley,"Drama, Romance, Comedy",https://letterboxd.com/film/father-of-the-bride-1991/
12,Hook,Steven Spielberg,Dustin Hoffman; Robin Williams; Julia Roberts,"Comedy, Adventure, Fantasy, Family",https://letterboxd.com/film/hook/
13,The Addams Family,Barry Sonnenfeld,Raúl Juliá; Anjelica Huston; Christopher Lloyd,"Comedy, Fantasy",https://letterboxd.com/film/the-addams-family/
14,Only Yesterday,Isao Takahata,Miki Imai; Yoko Honna; Toshiro Yanagiba,"Drama, Romance, Animation",https://letterboxd.com/film/only-yesterday/
15,Barton Fink,Joel Coen,John Turturro; John Goodman; Judy Davis,"Thriller, Drama, Comedy",https://letterboxd.com/film/barton-fink/
16,The Double Life of Véronique,Krzysztof Kieślowski,Irène Jacob; Halina Gryglaszewska; Philippe Volter,"Fantasy, Drama",https://letterboxd.com/film/the-double-life-of-veronique/
17,Night on Earth,Jim Jarmusch,Winona Ryder; Gena Rowlands; Giancarlo Esposito,"Drama, Comedy",https://letterboxd.com/film/night-on-earth/
18,Mississippi Masala,Mira Nair,Denzel Washington; Sarita Choudhury; Roshan Seth,"Drama, Romance",https://letterboxd.com/film/mississippi-masala/
19,964 Pinocchio,Shozin Fukui,Haji Suzuki; Onn-chan; Koji Otsubo,"Horror, Science Fiction, Thriller",https://letterboxd.com/film/964-pinocchio/
20,The Lovers on the Bridge,Leos Carax,Juliette Binoche; Denis Lavant; Klaus-Michael Grüber,"Drama, Romance",https://letterboxd.com/film/the-lovers-on-the-bridge/
21,The Naked Gun 2½: The Smell of Fear,David Zucker,Leslie Nielsen; Priscilla Presley; George Kennedy,"Crime, Comedy",https://letterboxd.com/film/the-naked-gun-2-the-smell-of-fear/
22,JFK,Oliver Stone,Kevin Costner; Tommy Lee Jones; Gary Oldman,"Drama, History, Thriller",https://letterboxd.com/film/jfk/
23,The Man in the Moon,Robert Mulligan,Reese Witherspoon; Jason London; Emily Warfield,"Drama, Romance",https://letterboxd.com/film/the-man-in-the-moon/
24,Naked Lunch,David Cronenberg,Peter Weller; Judy Davis; Ian Holm,"Crime, Drama",https://letterboxd.com/film/naked-lunch/
25,Sleeping with the Enemy,Joseph Ruben,Julia Roberts; Patrick Bergin; Kevin Anderson,"Thriller, Drama",https://letterboxd.com/film/sleeping-with-the-enemy/
26,The Fisher King,Terry Gilliam,Robin Williams; Jeff Bridges; Amanda Plummer,"Drama, Comedy",https://letterboxd.com/film/the-fisher-king/
27,Delicatessen,"Jean-Pierre Jeunet, Marc Caro",Dominique Pinon; Marie-Laure Dougnac; Jean-Claude Dreyfus,"Fantasy, Science Fiction, Comedy",https://letterboxd.com/film/delicatessen/
28,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman,Brian Tochi; Laurie Faso; Robbie Rist,"Comedy, Family, Science Fiction, Action, Adventure",https://letterboxd.com/film/teenage-mutant-ninja-turtles-ii-the-secret-of-the-ooze/
29,Frankie and Johnny,Garry Marshall,Al Pacino; Michelle Pfeiffer; Héctor Elizondo,"Drama, Romance, Comedy",https://letterboxd.com/film/frankie-and-johnny-1991/
30,Raise the Red Lantern,Zhang Yimou,Gong Li; He Saifei; Cao Cuifen,Drama,https://letterboxd.com/film/raise-the-red-lantern/
31,Hearts of Darkness: A Filmmaker's Apocalypse,"Fax Bahr, George Hickenlooper, Eleanor Coppola",Francis Ford Coppola; Eleanor Coppola; John Milius,Documentary,https://letterboxd.com/film/hearts-of-darkness-a-filmmakers-apocalypse/
32,A Brighter Summer Day,Edward Yang,Chang Chen; Lisa Yang; Chang Kuo-Chu,"Crime, Drama, Romance",https://letterboxd.com/film/a-brighter-summer-day/
33,The Doors,Oliver Stone,Val Kilmer; Meg Ryan; Kyle MacLachlan,"Drama, Music",https://letterboxd.com/film/the-doors/
34,Robin Hood: Prince of Thieves,Kevin Reynolds,Kevin Costner; Morgan Freeman; Mary Elizabeth Mastrantonio,"Drama, Action, Adventure",https://letterboxd.com/film/robin-hood-prince-of-thieves/
35,High Heels,Pedro Almodóvar,Victoria Abril; Marisa Paredes; Miguel Bosé,"Comedy, Drama, Crime",https://letterboxd.com/film/high-heels/
36,Child's Play 3,Jack Bender,Justin Whalin; Brad Dourif; Perrey Reeves,"Horror, Thriller",https://letterboxd.com/film/childs-play-3/
37,Not Without My Daughter,Brian Gilbert,Sally Field; Alfred Molina; Sheila Rosenthal,"Thriller, Drama",https://letterboxd.com/film/not-without-my-daughter/
38,The Commitments,Alan Parker,Robert Arkins; Michael Aherne; Angeline Ball,"Comedy, Drama, Music",https://letterboxd.com/film/the-commitments/
