rank,title,director,actors,genres,url
1,The Truman Show,Peter Weir,Jim Carrey; Laura Linney; Noah Emmerich,"Comedy, Drama",https://letterboxd.com/film/the-truman-show/
2,The Big Lebowski,Joel Coen,Jeff Bridges; John Goodman; Julianne Moore,"Comedy, Crime",https://letterboxd.com/film/the-big-lebowski/
3,Practical Magic,Griffin Dunne,Sandra Bullock; Nicole Kidman; Stockard Channing,"Fantasy, Comedy, Romance",https://letterboxd.com/film/practical-magic/
4,The Parent Trap,Nancy Meyers,Lindsay Lohan; Dennis Quaid; Natasha Richardson,"Family, Romance, Comedy",https://letterboxd.com/film/the-parent-trap-1998/
5,Mulan,"Tony Bancroft, Barry Cook",Ming-Na Wen; Eddie Murphy; BD Wong,"Family, Animation, Adventure",https://letterboxd.com/film/mulan/
6,Saving Private Ryan,Steven Spielberg,Tom Hanks; Tom Sizemore; Edward Burns,"History, Drama, War",https://letterboxd.com/film/saving-private-ryan/
7,American History X,Tony Kaye,Edward Norton; Edward Furlong; Beverly D'Angelo,Drama,https://letterboxd.com/film/american-history-x/
8,Rush Hour,Brett Ratner,Jackie Chan; Chris Tucker; Tom Wilkinson,"Crime, Action, Comedy",https://letterboxd.com/film/rush-hour/
9,You've Got Mail,Nora Ephron,Meg Ryan; Tom Hanks; Greg Kinnear,"Romance, Comedy",https://letterboxd.com/film/youve-got-mail/
10,Buffalo '66,Vincent Gallo,Vincent Gallo; Christina Ricci; Ben Gazzara,"Drama, Comedy, Romance",https://letterboxd.com/film/buffalo-66/
11,The Prince of Egypt,"Brenda Chapman, Steve Hickner, Simon Wells",Val Kilmer; Ralph Fiennes; Michelle Pfeiffer,"Adventure, Family, Animation, Drama",https://letterboxd.com/film/the-prince-of-egypt/
12,Blade,Stephen Norrington,Wesley Snipes; Stephen Dorff; Kris Kristofferson,"Action, Horror",https://letterboxd.com/film/blade/
13,Meet Joe Black,Martin Brest,Brad Pitt; Anthony Hopkins; Claire Forlani,"Drama, Romance, Fantasy",https://letterboxd.com/film/meet-joe-black/
14,SLC Punk,James Merendino,Matthew Lillard; Michael A. Goorjian; Annabeth Gish,"Drama, Music, Comedy",https://letterboxd.com/film/slc-punk/
15,Fear and Loathing in Las Vegas,Terry Gilliam,Johnny Depp; Benicio del Toro; Tobey Maguire,"Drama, Comedy, Adventure",https://letterboxd.com/film/fear-and-loathing-in-las-vegas/
16,A Bug's Life,John Lasseter,Dave Foley; Kevin Spacey; Julia Louis-Dreyfus,"Animation, Adventure, Comedy, Family",https://letterboxd.com/film/a-bugs-life/
17,Rushmore,Wes Anderson,Jason Schwartzman; Bill Murray; Olivia Williams,"Comedy, Drama",https://letterboxd.com/film/rushmore/
18,There's Something About Mary,"Peter Farrelly, Bobby Farrelly",Cameron Diaz; Matt Dillon; Ben Stiller,"Comedy, Romance",https://letterboxd.com/film/theres-something-about-mary/
19,Following,Christopher Nolan,Jeremy Theobald; Alex Haw; Lucy Russell,"Drama, Thriller",https://letterboxd.com/film/following/
20,Gia,Michael Cristofer,Angelina Jolie; Elizabeth Mitchell; Eric Michael Cole,"Drama, Romance",https://letterboxd.com/film/gia/
21,Run Lola Run,Tom Tykwer,Franka Potente; Moritz Bleibtreu; Herbert Knaup,"Action, Thriller, Drama",https://letterboxd.com/film/run-lola-run/
22,The Celebration,Thomas Vinterberg,Ulrich Thomsen; Henning Moritzen; Thomas Bo Larsen,Drama,https://letterboxd.com/film/the-celebration/
23,Central Station,Walter Salles,Fernanda Montenegro; Vinícius de Oliveira; Marília Pêra,Drama,https://letterboxd.com/film/central-station/
24,Rounders,John Dahl,Matt Damon; Edward Norton; John Turturro,"Drama, Crime",https://letterboxd.com/film/rounders/
25,Wild Things,John McNaughton,Kevin Bacon; Matt Dillon; Neve Campbell,"Thriller, Mystery, Drama",https://letterboxd.com/film/wild-things/
26,Ring,Hideo Nakata,Nanako Matsushima; Hiroyuki Sanada; Rikiya Ôtaka,"Thriller, Horror",https://letterboxd.com/film/ring-1998/
27,Happiness,Todd Solondz,Jane Adams; Philip Seymour Hoffman; Dylan Baker,"Drama, Comedy",https://letterboxd.com/film/happiness/
28,The Faculty,Robert Rodriguez,Josh Hartnett; Elijah Wood; Jordana Brewster,"Science Fiction, Horror",https://letterboxd.com/film/the-faculty/
29,Pleasantville,Gary Ross,Tobey Maguire; Reese Witherspoon; William H. Macy,"Comedy, Fantasy, Drama",https://letterboxd.com/film/pleasantville/
30,Armageddon,Michael Bay,Bruce Willis; Billy Bob Thornton; Ben Affleck,"Action, Adventure, Science Fiction",https://letterboxd.com/film/armageddon/
31,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,Vinnie Jones; Jason Flemyng; Dexter Fletcher,"Crime, Comedy",https://letterboxd.com/film/lock-stock-and-two-smoking-barrels/
32,Sliding Doors,Peter Howitt,Gwyneth Paltrow; John Hannah; John Lynch,"Comedy, Romance, Drama, Fantasy",https://letterboxd.com/film/sliding-doors/
33,The Wedding Singer,Frank Coraci,Adam Sandler; Drew Barrymore; Christine Taylor,"Romance, Comedy",https://letterboxd.com/film/the-wedding-singer/
34,Dark City,Alex Proyas,Rufus Sewell; William Hurt; Kiefer Sutherland,"Mystery, Science Fiction",https://letterboxd.com/film/dark-city-1998/
35,The Thin Red Line,Terrence Malick,Jim Caviezel; Nick Nolte; Sean Penn,"History, War, Drama",https://letterboxd.com/film/the-thin-red-line/
36,Cowboy Bebop,"Ikuro Sato, Kunihiro Mori, Yoshiyuki Takei, Hirokazu Yamada, Tetsuya Watanabe, Shinichiro Watanabe",Koichi Yamadera; Unsho Ishizuka; Megumi Hayashibara,"Western, Animation",https://letterboxd.com/film/cowboy-bebop/
37,Fallen,Gregory Hoblit,Denzel Washington; John Goodman; Donald Sutherland,"Thriller, Drama, Fantasy, Crime",https://letterboxd.com/film/fallen-1998/
38,Shakespeare in Love,John Madden,Joseph Fiennes; Gwyneth Paltrow; Geoffrey Rush,"Comedy, Romance, Drama, History",https://letterboxd.com/film/shakespeare-in-love/
39,Bride of Chucky,Ronny Yu,Brad Dourif; Jennifer Tilly; Katherine Heigl,"Comedy, Horror",https://letterboxd.com/film/bride-of-chucky/
40,The Man in the Iron Mask,Randall Wallace,Leonardo DiCaprio; Gabriel Byrne; Jeremy Irons,"Drama, Action, Adventure",https://letterboxd.com/film/the-man-in-the-iron-mask-1998/
