rank,title,director,actors,genres,url
1,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Elijah Wood; Ian McKellen; Viggo Mortensen,"Adventure, Action, Fantasy",https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
2,Legally Blonde,Robert Luketic,Reese Witherspoon; Luke Wilson; Selma Blair,Comedy,https://letterboxd.com/film/legally-blonde/
3,Spirited Away,Hayao Miyazaki,Rumi Hiiragi; Miyu Irino; Mari Natsuki,"Family, Fantasy, Animation",https://letterboxd.com/film/spirited-away/
4,Donnie Darko,Richard Kelly,Jake Gyllenhaal; Jena Malone; James Duval,"Drama, Fantasy, Mystery",https://letterboxd.com/film/donnie-darko/
5,Mulholland Drive,David Lynch,Naomi Watts; Laura Harring; Justin Theroux,"Drama, Mystery, Thriller",https://letterboxd.com/film/mulholland-drive/
6,Harry Potter and the Philosopher's Stone,Chris Columbus,Daniel Radcliffe; Rupert Grint; Emma Watson,"Adventure, Fantasy",https://letterboxd.com/film/harry-potter-and-the-philosophers-stone/
7,Shrek,"Andrew Adamson, Vicky Jenson",Mike Myers; Eddie Murphy; Cameron Diaz,"Adventure, Fantasy, Family, Animation, Comedy",https://letterboxd.com/film/shrek/
8,The Royal Tenenbaums,Wes Anderson,Gene Hackman; Anjelica Huston; Ben Stiller,"Drama, Comedy",https://letterboxd.com/film/the-royal-tenenbaums/
9,Amélie,Jean-Pierre Jeunet,Audrey Tautou; Mathieu Kassovitz; Rufus,"Romance, Comedy",https://letterboxd.com/film/amelie/
10,Ocean's Eleven,Steven Soderbergh,George Clooney; Brad Pitt; Andy Garcia,"Thriller, Crime",https://letterboxd.com/film/oceans-eleven-2001/
11,The Princess Diaries,Garry Marshall,Anne Hathaway; Julie Andrews; Heather Matarazzo,"Comedy, Romance, Family",https://letterboxd.com/film/the-princess-diaries/
12,The Piano Teacher,Michael Haneke,Isabelle Huppert; Annie Girardot; Benoît Magimel,"Romance, Drama",https://letterboxd.com/film/the-piano-teacher/
13,"Monsters, Inc.",Pete Docter,John Goodman; Billy Crystal; Mary Gibbs,"Comedy, Animation, Family, Fantasy",https://letterboxd.com/film/monsters-inc/
14,Y Tu Mamá También,Alfonso Cuarón,Maribel Verdú; Gael García Bernal; Diego Luna,"Romance, Drama",https://letterboxd.com/film/y-tu-mama-tambien/
15,Bridget Jones's Diary,Sharon Maguire,Renée Zellweger; Colin Firth; Hugh Grant,"Drama, Comedy, Romance",https://letterboxd.com/film/bridget-joness-diary/
16,Scary Movie 2,Keenen Ivory Wayans,Anna Faris; Regina Hall; Marlon Wayans,Comedy,https://letterboxd.com/film/scary-movie-2/
17,Zoolander,Ben Stiller,Ben Stiller; Owen Wilson; Christine Taylor,Comedy,https://letterboxd.com/film/zoolander/
18,The Fast and the Furious,Rob Cohen,Paul Walker; Vin Diesel; Michelle Rodriguez,"Action, Crime, Thriller",https://letterboxd.com/film/the-fast-and-the-furious-2001/
19,Moulin Rouge!,Baz Luhrmann,Ewan McGregor; Nicole Kidman; John Leguizamo,"Romance, Music, Drama",https://letterboxd.com/film/moulin-rouge-2001/
20,Training Day,Antoine Fuqua,Denzel Washington; Ethan Hawke; Scott Glenn,"Crime, Action, Drama",https://letterboxd.com/film/training-day/
21,The Others,Alejandro Amenábar,Nicole Kidman; Alakina Mann; James Bentley,"Thriller, Mystery, Horror",https://letterboxd.com/film/the-others/
22,Vanilla Sky,Cameron Crowe,Tom Cruise; Penélope Cruz; Cameron Diaz,"Romance, Science Fiction, Mystery",https://letterboxd.com/film/vanilla-sky/
23,A Knight's Tale,Brian Helgeland,Heath Ledger; Rufus Sewell; Shannyn Sossamon,"Drama, Romance, Action, Adventure",https://letterboxd.com/film/a-knights-tale/
24,Jurassic Park III,Joe Johnston,Sam Neill; William H. Macy; Téa Leoni,"Science Fiction, Thriller, Adventure",https://letterboxd.com/film/jurassic-park-iii/
25,All About Lily Chou-Chou,Shunji Iwai,Hayato Ichihara; Shugo Oshinari; Yu Aoi,"Drama, Crime",https://letterboxd.com/film/all-about-lily-chou-chou/
26,A Beautiful Mind,Ron Howard,Russell Crowe; Jennifer Connelly; Ed Harris,"Romance, Drama",https://letterboxd.com/film/a-beautiful-mind/
27,Not Another Teen Movie,Joel Gallen,Chyler Leigh; Chris Evans; Jaime Pressly,Comedy,https://letterboxd.com/film/not-another-teen-movie/
28,Millennium Actress,Satoshi Kon,Miyoko Shoji; Mami Koyama; Fumiko Orikasa,"Drama, Romance, Animation",https://letterboxd.com/film/millennium-actress/
29,Rush Hour 2,Brett Ratner,Jackie Chan; Chris Tucker; John Lone,"Action, Crime, Comedy",https://letterboxd.com/film/rush-hour-2/
30,The Mummy Returns,Stephen Sommers,Brendan Fraser; Rachel Weisz; John Hannah,"Fantasy, Action, Adventure",https://letterboxd.com/film/the-mummy-returns/
31,Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise",Michael J. Fox; Cree Summer; James Garner,"Family, Science Fiction, Animation, Adventure",https://letterboxd.com/film/atlantis-the-lost-empire/
32,Hannibal,Ridley Scott,Anthony Hopkins; Julianne Moore; Gary Oldman,"Thriller, Drama, Horror, Crime",https://letterboxd.com/film/hannibal/
33,Don't Say a Word,Gary Fleder,Michael Douglas; Sean Bean; Brittany Murphy,"Mystery, Crime, Thriller",https://letterboxd.com/film/dont-say-a-word/
